sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
276,1761643909.450000,1761643909.447000,3.000,-19532.2,-325.54,391,399,-9,-1
277,1761643910.446000,1761643910.444000,2.000,-19531.2,-325.52,391,400,-9,+0
278,1761643911.454000,1761643911.444500,9.500,-19530.2,-325.50,389,400,-11,+0
279,1761643912.447000,1761643912.443000,4.000,-19529.2,-325.49,389,400,-11,+0
280,1761643913.452500,1761643913.451000,1.500,-19528.2,-325.47,391,398,-9,-2
281,1761643914.449500,1761643914.445500,4.000,-19527.2,-325.45,390,400,-10,+0
282,1761643915.454000,1761643915.446000,8.000,-19526.2,-325.44,391,400,-9,+0
283,1761643916.452000,1761643916.445500,6.500,-19525.2,-325.42,389,400,-11,+0
284,1761643917.454000,1761643917.446500,7.500,-19524.2,-325.40,392,401,-8,+1
285,1761643918.451000,1761643918.449500,1.500,-19523.2,-325.39,390,399,-10,-1
286,1761643919.455500,1761643919.448000,7.500,-19522.2,-325.37,392,399,-8,-1
287,1761643920.453500,1761643920.448500,5.000,-19521.2,-325.35,390,400,-10,+0
288,1761643921.456000,1761643921.446500,9.500,-19520.2,-325.34,392,401,-8,+1
289,1761643922.453000,1761643922.451000,2.000,-19519.2,-325.32,390,397,-10,-3
290,1761643923.458500,1761643923.450500,8.000,-19518.2,-325.30,390,398,-10,-2
291,1761643924.453000,1761643924.450500,2.500,-19517.2,-325.29,391,400,-9,+0
292,1761643925.458500,1761643925.451000,7.500,-19516.2,-325.27,390,399,-10,-1
293,1761643926.455500,1761643926.451000,4.500,-19515.2,-325.25,391,400,-9,+0
294,1761643927.460000,1761643927.451500,8.500,-19514.2,-325.24,390,400,-10,+0
295,1761643928.454500,1761643928.453000,1.500,-19513.2,-325.22,389,399,-11,-1
296,1761643929.462500,1761643929.452500,10.000,-19512.2,-325.20,390,400,-10,+0
297,1761643930.457000,1761643930.452000,5.000,-19511.2,-325.19,390,400,-10,+0
298,1761643931.461500,1761643931.451500,10.000,-19510.2,-325.17,392,400,-8,+0
299,1761643932.458500,1761643932.454500,4.000,-19509.2,-325.15,390,400,-10,+0
300,1761643933.461500,1761643933.454000,7.500,-19508.2,-325.14,394,400,-6,+0
301,1761643934.458000,1761643934.455500,2.500,-19507.2,-325.12,395,399,-5,-1
302,1761643935.466000,1761643935.455000,11.000,-19506.2,-325.10,392,399,-8,-1
303,1761643936.459000,1761643936.455500,3.500,-19505.2,-325.09,391,398,-9,-2
304,1761643937.464500,1761643937.456000,8.500,-19504.2,-325.07,391,399,-9,-1
305,1761643938.460000,1761643938.454000,6.000,-19503.2,-325.05,389,401,-11,+1
306,1761643939.462000,1761643939.457500,4.500,-19502.2,-325.04,391,400,-9,+0
307,1761643940.462500,1761643940.458000,4.500,-19501.2,-325.02,392,399,-8,-1
308,1761643941.467500,1761643941.456500,11.000,-19500.2,-325.00,391,400,-9,+0
309,1761643942.464000,1761643942.458000,6.000,-19499.2,-324.99,390,399,-10,-1
310,1761643943.466000,1761643943.457500,8.500,-19498.2,-324.97,392,400,-8,+0
311,1761643944.463000,1761643944.457000,6.000,-19497.2,-324.95,392,400,-8,+0
312,1761643945.467000,1761643945.456500,10.500,-19496.2,-324.94,393,399,-7,-1
313,1761643946.465000,1761643946.458500,6.500,-19495.2,-324.92,390,399,-10,-1
314,1761643947.468000,1761643947.458000,10.000,-19494.2,-324.90,391,399,-9,-1
315,1761643948.465000,1761643948.458500,6.500,-19493.2,-324.89,392,400,-8,+0
316,1761643949.471500,1761643949.458000,13.500,-19492.2,-324.87,391,398,-9,-2
317,1761643950.467000,1761643950.458500,8.500,-19491.2,-324.85,391,399,-9,-1
318,1761643951.471000,1761643951.459500,11.500,-19490.2,-324.84,389,401,-11,+1
